Id	FileName	Copyright	Title	Subject	Description	Tags	ThematicLink	URL	updatedURL
WEB-0222_fire_altar_worship	WEB-0222_fire_altar_worship.jpg	© World Imaging assumed (based on copyright claims)., CC BY-SA 3.0	Worship 	 	A stone palette shows worshipers around an altar (Indo-Parthian) 	MVR 		https://upload.wikimedia.org/wikipedia/commons/4/47/FireAltarWorship.JPG	
WEB-0224_fish_en	WEB-0224_fish_en.jpg	CC0, Pixabay	Fish		Fish	דָּג; דָּגָה; ἐνάλιον; ἔνυδρος (DC); ἰχθύς; ἰχθύδιον; κῆτος; νηκτός (DC); ὀψάριον; προσφάγιον	Fauna:5.1	https://pixabay.com/images/id-537832/	
WEB-0225_fish_en	WEB-0225_fish_en.jpg	H. B. Tristram, Public domain	Fish	NATURAL WORLD	Fish	MVR; דָּג; דָּגָה; ἐνάλιον; ἔνυδρος (DC); ἰχθύς; ἰχθύδιον; κῆτος; νηκτός (DC); ὀψάριον; προσφάγιον	Fauna:5.1	https://archive.org/details/surveyofwesternp00trisuoft/page/198/mode/2up	
WEB-0226_fishes	WEB-0226_fishes.jpg	CC0, Pixabay	Fish		A collection of colorful fish	דָּג; דָּגָה; ἐνάλιον; ἔνυδρος (DC); ἰχθύς; ἰχθύδιον; κῆτος; νηκτός (DC); ὀψάριον; προσφάγιον	Fauna:5.1	https://pixabay.com/images/id-1868779/	
WEB-0227_fish_mosaic	WEB-0227_fish_mosaic.jpg	Berthold Werner, Public domain, via Wikimedia Commons	Fish 	 	A mosaic of loaves and fish in the Church of the Multiplication at Tabgha 	דָּג; דָּגָה; ἐνάλιον; ἔνυδρος (DC); ἰχθύς; ἰχθύδιον; κῆτος; νηκτός (DC); ὀψάριον; προσφάγιον 		https://commons.wikimedia.org/wiki/File:Brotvermehrungskirche_BW_3-2.JPG	https://upload.wikimedia.org/wikipedia/commons/d/db/Brotvermehrungskirche_BW_3-2.JPG
WEB-0228_flacon_nards_perfume	WEB-0228_flacon_nards_perfume.jpg	© Juan Antonio Flores Segal (Flickr: Old little bottle with nards perfume), CC BY 2.0, via Wikimedia Commons	Nard	OBJECTS, TOOLS & TRADES	Nard perfume in a flacon, from the spikenard plant	MVR; MRK; νάρδος		https://upload.wikimedia.org/wikipedia/commons/b/be/WEB-0228_flacon_nards_perfume.jpg	
WEB-0229_flame	WEB-0229_flame.jpg	© Guillaume Blanchard, CC BY-SA, via Wikimedia Commons	Flame 	 	The flame from a torch 	MVR; fire 		https://commons.wikimedia.org/wiki/File:Australia_Cairns_WEB-0229_flame.jpg	
WEB-0230_flax	WEB-0230_flax.jpg	© GFDL by Kurt Stueber (from Otto Wilhelm Thomé, Flora von Deutschland, Österreich und der Schweiz 1885), via Wikimedia Commons	Flax		Flax	פֵּשֶׁת; פִּשְׁתָּה	Flora:5.1.7	https://commons.wikimedia.org/wiki/File:Illustration_Linum_usitatissimum0.jpg	https://upload.wikimedia.org/wikipedia/commons/e/ef/Illustration_Linum_usitatissimum0.jpg
WEB-0231_flax	WEB-0231_flax.jpg	Frans E. Koehler, Public domain, via Wikimedia Commons	Flax	NATURAL WORLD	Botanical drawing of a flax stalk	MVR; פֵּשֶׁת; פִּשְׁתָּה	Flora:5.1.7	https://commons.wikimedia.org/wiki/File:K%C3%B6hler%27s_Medizinal-Pflanzen_in_naturgetreuen_Abbildungen_mit_kurz_erl%C3%A4uterndem_Texte_(Plate_16)_BHL303594.jpg	https://upload.wikimedia.org/wikipedia/commons/a/a8/K%C3%B6hler%27s_Medizinal-Pflanzen_in_naturgetreuen_Abbildungen_mit_kurz_erl%C3%A4uterndem_Texte_%28Plate_16%29_BHL303594.jpg
WEB-0232_flax_cutting	WEB-0232_flax_cutting.jpg	Sergei Prokudin-Gorskii, Public domain, Wikimedia Commons	Flax	NATURAL WORLD	Woman cutting flax	MVR; פֵּשֶׁת; פִּשְׁתָּה	Flora:5.1.7	https://commons.wikimedia.org/wiki/File:BreakingFlax.jpeg	https://upload.wikimedia.org/wikipedia/commons/e/e7/BreakingFlax.jpeg
WEB-0233_flax_flowers	WEB-0233_flax_flowers.jpg	© Zachi Evenor, CC BY 3.0, via Wikimedia Commons	Flax	NATURAL WORLD	Flax flowers	MVR; פֵּשֶׁת; פִּשְׁתָּה	Flora:5.1.7	https://upload.wikimedia.org/wikipedia/commons/d/d7/Linum-pubescens-Zachi-Evenor-004.jpg	
WEB-0234_flax_flower	WEB-0234_flax_flower.jpg	© Zachi Evenor (File:Linum-pubescens-Zachi-Evenor-001.jpg), CC BY 3.0 or CC BY 4.0, via Wikimedia Commons	Flax	NATURAL WORLD	Flowers of the flax plant (Linum pubescens)	MVR; פֵּשֶׁת; פִּשְׁתָּה	Flora:5.1.7	https://commons.wikimedia.org/wiki/File:Linum-pubescens-Zachi-Evenor-003.jpg	https://upload.wikimedia.org/wikipedia/commons/b/bf/Linum-pubescens-Zachi-Evenor-003.jpg
WEB-0235_flax_stalk	WEB-0235_flax_stalk.jpg	© Florian Gerlach (Nawaro), CC BY-SA 3.0, via Wikimedia Commons	Flax		Flax stalks	פֵּשֶׁת; פִּשְׁתָּה	Flora:5.1.7	https://commons.wikimedia.org/wiki/File:Flachsstroh_Garn_Vlies_und_Seil.jpg	https://upload.wikimedia.org/wikipedia/commons/b/bf/Flachsstroh_Garn_Vlies_und_Seil.jpg
WEB-0237_flock_of_birds	WEB-0237_flock_of_birds.jpg	© גמלאי עיריית טבריה, CC BY 2.5, via Wikimedia Commons	Flock of birds	NATURAL WORLD	Flock of birds	MVR; עוֹף		https://upload.wikimedia.org/wikipedia/commons/f/f8/PikiWiki_Israel_16912_A_flock_of_birds.JPG	
WEB-0238_flooded_land	WEB-0238_flooded_land.jpg	© Basile Morin, CC BY-SA 4.0, via Wikimedia Commons	Flood		Submerged Albizia Saman (rain tree) in the Mekong, near the island of Don Loppadi, Laos, during the dry season (when the river is low)	MVR		https://commons.wikimedia.org/wiki/File:Flooded_Albizia_Saman_(rain_tree)_in_the_Mekong.jpg	https://upload.wikimedia.org/wikipedia/commons/7/7b/Flooded_Albizia_Saman_%28rain_tree%29_in_the_Mekong.jpg
WEB-0239_flooding	WEB-0239_flooding.jpg	© Walter Siegmund, CC BY-SA 3.0, via Wikimedia Commons	Flood		Surging flood waters	MVR; מַבּוּל; שֶׁטֶף		https://upload.wikimedia.org/wikipedia/commons/4/4b/Granite_Falls_26428.JPG	
WEB-0240_fly	WEB-0240_fly.jpg	CC0, Pixabay	Fly	NATURAL WORLD	Flies on a plant stem	MVR	Fauna:6.4	https://pixabay.com/photos/fly-bug-insect-2629848/	
WEB-0241_forum_romanum	WEB-0241_forum_romanum.jpg	© BeBo86, CC BY-SA 3.0, via Wikimedia Commons	Forum		The Forum in Rome	MVR		https://commons.wikimedia.org/wiki/File:WEB-0241_forum_romanum.jpg	
WEB-0242_foundation_slab_of_xerxes	WEB-0242_foundation_slab_of_xerxes.jpg	Daderot, CC0, via Wikimedia Commons	Persepolis		Limestone foundation slab of Xerxes, found in Persepolis (486-465 BCE)	MVR		https://commons.wikimedia.org/wiki/File:Foundation_slab_of_Xerxes_in_Babylonian_language,_Iran,_Persepolis,_Garrison_quarters,_Achaemenid_Period,_reign_of_Xerxes,_486-465_BC,_limestone_-_Oriental_Institute_Museum,_University_of_Chicago_-_DSC07978.JPG	https://upload.wikimedia.org/wikipedia/commons/c/c8/Foundation_slab_of_Xerxes_in_Babylonian_language%2C_Iran%2C_Persepolis%2C_Garrison_quarters%2C_Achaemenid_Period%2C_reign_of_Xerxes%2C_486-465_BC%2C_limestone_-_Oriental_Institute_Museum%2C_University_of_Chicago_-_DSC07978.JPG
WEB-0243_fox	WEB-0243_fox.jpg	© Doron Horovitz, Israel Government Press Office	Fox	NATURAL WORLD	Foxes are members of the same animal family that includes the wolf and the dog	MVR; ἀλώπηξ	Fauna:2.22	https://gpophotoeng.gov.il/fotoweb/cmdrequest/rest/Download.fwx/D426-071.jpg?D=C81D6356E1BFEA156E1871B36C2AB119898895604DC1D2ADB599A2E66BBB14531CC84BC505428176FD39000DC9A02C4F4625D291663D8FC24862086D6FB61F3F923164D001A6042484CEFB6F26C1A140D8CCD4DD3A8D90CF7F2E606E996FFE4FD5BB9672D746BA0A38F2B96F6AF166E1&ForceSaveDialog=yes	
WEB-0244_frankincense_branch	WEB-0244_frankincense_branch.jpg	Frans E. Koehler, Public domain, via Wikimedia Commons	Frankincense	NATURAL WORLD	Plate showing a frankincense branch with its tiny flowers	MVR; λίβανος	Flora:4.1.6	https://commons.wikimedia.org/wiki/File:Boswellia_sacra_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-022.jpg	https://upload.wikimedia.org/wikipedia/commons/d/da/Boswellia_sacra_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-022.jpg
WEB-0245_frankincense_lump	WEB-0245_frankincense_lump.jpg	snotch, Public domain, via Wikimedia Commons	Frankincense	NATURAL WORLD	Lumps of frankincense resin which can be burnt as incense	MVR; λίβανος	Flora:4.1.6	https://commons.wikimedia.org/wiki/File:Frankincense_2005-12-31.jpg	https://upload.wikimedia.org/wikipedia/commons/1/14/Frankincense_2005-12-31.jpg
WEB-0246_frankincense_tree	WEB-0246_frankincense_tree.jpg	© Eckhard Pecher, CC BY 2.5, via Wikimedia Commons	Frankincense	NATURAL WORLD	Frankincense trees, whose resin is used to make incense	MVR; λίβανος	Flora:4.1.6	https://commons.wikimedia.org/wiki/File:Oman_Dhofar_Frankincense.jpg	https://upload.wikimedia.org/wikipedia/commons/8/87/Oman_Dhofar_Frankincense.jpg
WEB-0247_frog	WEB-0247_frog.jpg	CC0, Pixabay	Frog	NATURAL WORLD	Common frogs in the Middle East and Egypt are the Edible Frog and the Spotted Frog	MVR; צְפַרְדֵּעַ; βάτραχος	Fauna:5.2	https://pixabay.com/images/id-2097029/	
WEB-0248_frogs	WEB-0248_frogs.jpg	CC0, Pixabay	Frogs		Frogs	צְפַרְדֵּעַ; βάτραχος	Fauna:5.2	https://pixabay.com/images/id-1406238/	
WEB-0249_frost	WEB-0249_frost.jpg	© Hans Hillewaert, CC BY-SA 3.0, via Wikimedia Commons	Frost 	 	Frost on grasses 	MVR 		https://commons.wikimedia.org/wiki/File:Ammophila_arenaria_(frosted_leaves).jpg	https://upload.wikimedia.org/wikipedia/commons/e/e6/Ammophila_arenaria_%28frosted_leaves%29.jpg
WEB-0250_herb_garden	WEB-0250_herb_garden.jpg	© Dguendel, CC BY 3.0, via Wikimedia Commons	Herb		A herb garden	MVR		https://commons.wikimedia.org/wiki/File:Funkenburg_(Westgreu%C3%9Fen),_the_herb_garden.jpg	https://upload.wikimedia.org/wikipedia/commons/e/e3/Funkenburg_%28Westgreu%C3%9Fen%29%2C_the_herb_garden.jpg
WEB-0251_gale_force_winds	WEB-0251_gale_force_winds.jpg	© Tony Hisgett, CC BY 2.0, via Wikimedia Commons	Wind		Gale force winds in La Gomera (Canary Islands)	MVR		https://commons.wikimedia.org/wiki/File:WEB-0251_gale_force_winds.jpg	
WEB-0252_galilee_boat	WEB-0252_galilee_boat.jpg	© Konrad Summers from Santa Clarita (Valencia) , California, USA (2,000 year-old Galilee Boat), CC BY-SA 2.0, via Wikimedia Commons	Boat		The remains of a 2,000 year old fishing boat found in the Sea of Galilee	MVR; πλοιάριον; πλοῖον	Realia:8.1	https://upload.wikimedia.org/wikipedia/commons/9/99/2,000_year-old_Galilee_Boat_(25590631200).jpg	
WEB-0253_gangrene	WEB-0253_gangrene.jpg	© Dr. Andreas Settje, CC BY-SA 3.0, via Wikimedia Commons	Gangrene		A gangrenous foot beside a healthy one	MVR		https://commons.wikimedia.org/wiki/File:Nekrose_fuss_gipsverband01.jpg	https://upload.wikimedia.org/wikipedia/commons/c/ce/Nekrose_fuss_gipsverband01.jpg
